,Age,Education,Occupation,Relationship,Race,Sex,Target
0,39,Bachelors,Adm-clerical,Not-in-family,White,Male,<=50K
1,50,Bachelors,Exec-managerial,Husband,White,Male,<=50K
2,38,HS-grad,Handlers-cleaners,Not-in-family,White,Male,<=50K
3,53,11th,Handlers-cleaners,Husband,Black,Male,<=50K
4,28,Bachelors,Prof-specialty,Wife,Black,Female,<=50K
5,37,Masters,Exec-managerial,Wife,White,Female,<=50K
6,49,9th,Other-service,Not-in-family,Black,Female,<=50K
7,52,HS-grad,Exec-managerial,Husband,White,Male,>50K
8,31,Masters,Prof-specialty,Not-in-family,White,Female,>50K
9,42,Bachelors,Exec-managerial,Husband,White,Male,>50K
10,37,Some-college,Exec-managerial,Husband,Black,Male,>50K
11,30,Bachelors,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
12,23,Bachelors,Adm-clerical,Own-child,White,Female,<=50K
13,32,Assoc-acdm,Sales,Not-in-family,Black,Male,<=50K
14,40,Assoc-voc,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
15,34,7th-8th,Transport-moving,Husband,Amer-Indian-Eskimo,Male,<=50K
16,25,HS-grad,Farming-fishing,Own-child,White,Male,<=50K
17,32,HS-grad,Machine-op-inspct,Unmarried,White,Male,<=50K
18,38,11th,Sales,Husband,White,Male,<=50K
19,43,Masters,Exec-managerial,Unmarried,White,Female,>50K
20,40,Doctorate,Prof-specialty,Husband,White,Male,>50K
21,54,HS-grad,Other-service,Unmarried,Black,Female,<=50K
22,35,9th,Farming-fishing,Husband,Black,Male,<=50K
23,43,11th,Transport-moving,Husband,White,Male,<=50K
24,59,HS-grad,Tech-support,Unmarried,White,Female,<=50K
25,56,Bachelors,Tech-support,Husband,White,Male,>50K
26,19,HS-grad,Craft-repair,Own-child,White,Male,<=50K
27,54,Some-college,?,Husband,Asian-Pac-Islander,Male,>50K
28,39,HS-grad,Exec-managerial,Not-in-family,White,Male,<=50K
29,49,HS-grad,Craft-repair,Husband,White,Male,<=50K
30,23,Assoc-acdm,Protective-serv,Not-in-family,White,Male,<=50K
31,20,Some-college,Sales,Own-child,Black,Male,<=50K
32,45,Bachelors,Exec-managerial,Own-child,White,Male,<=50K
33,30,Some-college,Adm-clerical,Own-child,White,Male,<=50K
34,22,Some-college,Other-service,Husband,Black,Male,<=50K
35,48,11th,Machine-op-inspct,Unmarried,White,Male,<=50K
36,21,Some-college,Machine-op-inspct,Own-child,White,Male,<=50K
37,19,HS-grad,Adm-clerical,Wife,White,Female,<=50K
38,31,Some-college,Sales,Husband,White,Male,>50K
39,48,Assoc-acdm,Prof-specialty,Husband,White,Male,<=50K
40,31,9th,Machine-op-inspct,Husband,White,Male,<=50K
41,53,Bachelors,Prof-specialty,Husband,White,Male,<=50K
42,24,Bachelors,Tech-support,Husband,White,Male,<=50K
43,49,HS-grad,Adm-clerical,Unmarried,White,Female,<=50K
44,25,HS-grad,Handlers-cleaners,Not-in-family,White,Male,<=50K
45,57,Bachelors,Prof-specialty,Husband,Black,Male,>50K
46,53,HS-grad,Machine-op-inspct,Husband,White,Male,<=50K
47,44,Masters,Exec-managerial,Unmarried,White,Female,<=50K
48,41,Assoc-voc,Craft-repair,Husband,White,Male,<=50K
49,29,Assoc-voc,Prof-specialty,Not-in-family,White,Male,<=50K
50,25,Some-college,Exec-managerial,Wife,Other,Female,<=50K
51,18,HS-grad,Other-service,Own-child,White,Female,<=50K
52,47,Prof-school,Prof-specialty,Wife,White,Female,>50K
53,50,Bachelors,Exec-managerial,Not-in-family,White,Male,>50K
54,47,HS-grad,Exec-managerial,Not-in-family,White,Male,<=50K
55,43,Some-college,Tech-support,Husband,White,Male,>50K
56,46,5th-6th,Machine-op-inspct,Husband,White,Male,<=50K
57,35,Assoc-voc,Other-service,Husband,White,Male,<=50K
58,41,HS-grad,Adm-clerical,Husband,White,Male,<=50K
59,30,HS-grad,Machine-op-inspct,Husband,White,Male,<=50K
60,30,Bachelors,Sales,Husband,White,Male,<=50K
61,32,7th-8th,?,Not-in-family,White,Male,<=50K
62,48,HS-grad,Transport-moving,Husband,White,Male,<=50K
63,42,Doctorate,Prof-specialty,Husband,White,Male,>50K
64,29,Some-college,Tech-support,Not-in-family,White,Male,<=50K
65,36,HS-grad,Craft-repair,Husband,White,Male,<=50K
66,28,Some-college,Adm-clerical,Not-in-family,White,Female,<=50K
67,53,HS-grad,Adm-clerical,Wife,White,Female,>50K
68,49,Some-college,Exec-managerial,Husband,White,Male,>50K
69,25,Some-college,?,Own-child,White,Male,<=50K
70,19,Some-college,Prof-specialty,Own-child,White,Male,<=50K
71,31,Bachelors,Sales,Own-child,Black,Female,<=50K
72,29,Bachelors,Sales,Husband,White,Male,>50K
73,23,Some-college,Machine-op-inspct,Not-in-family,White,Male,<=50K
74,79,Some-college,Prof-specialty,Other-relative,White,Male,<=50K
75,27,HS-grad,Other-service,Own-child,White,Male,<=50K
76,40,Assoc-acdm,Adm-clerical,Husband,White,Male,<=50K
77,67,10th,?,Husband,White,Male,<=50K
78,18,11th,Other-service,Own-child,White,Female,<=50K
79,31,7th-8th,Farming-fishing,Husband,White,Male,<=50K
80,18,HS-grad,Sales,Not-in-family,White,Male,<=50K
81,52,Bachelors,Other-service,Husband,White,Male,<=50K
82,46,HS-grad,Other-service,Wife,White,Female,<=50K
83,59,HS-grad,Sales,Husband,White,Male,<=50K
84,44,HS-grad,Craft-repair,Not-in-family,White,Female,>50K
85,53,HS-grad,Sales,Own-child,White,Female,<=50K
86,49,HS-grad,Protective-serv,Husband,White,Male,>50K
87,33,Masters,Prof-specialty,Husband,White,Male,<=50K
88,30,9th,Sales,Not-in-family,White,Male,<=50K
89,43,Doctorate,Prof-specialty,Not-in-family,White,Female,>50K
90,57,Assoc-voc,Prof-specialty,Husband,White,Male,<=50K
91,37,Some-college,Craft-repair,Unmarried,White,Female,<=50K
92,28,Some-college,Machine-op-inspct,Unmarried,Black,Female,<=50K
93,30,HS-grad,Sales,Wife,Asian-Pac-Islander,Female,<=50K
94,34,Bachelors,Protective-serv,Husband,White,Male,>50K
95,29,Some-college,Handlers-cleaners,Not-in-family,White,Male,<=50K
96,48,Doctorate,Prof-specialty,Husband,White,Male,>50K
97,37,Some-college,Sales,Husband,White,Male,>50K
98,48,Assoc-acdm,Exec-managerial,Unmarried,White,Female,<=50K
99,32,HS-grad,Other-service,Own-child,Black,Male,<=50K
100,76,Masters,Exec-managerial,Husband,White,Male,>50K
101,44,Bachelors,Exec-managerial,Husband,White,Male,>50K
102,47,Masters,Prof-specialty,Not-in-family,White,Female,<=50K
103,20,Some-college,Tech-support,Own-child,White,Female,<=50K
104,29,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
105,32,HS-grad,Craft-repair,Husband,White,Male,>50K
106,17,10th,?,Own-child,White,Female,<=50K
107,30,11th,Handlers-cleaners,Own-child,White,Male,<=50K
108,31,HS-grad,Adm-clerical,Not-in-family,White,Female,<=50K
109,42,HS-grad,Handlers-cleaners,Husband,White,Male,<=50K
110,24,Bachelors,Sales,Other-relative,White,Male,<=50K
111,38,Prof-school,Prof-specialty,Husband,White,Male,>50K
112,56,HS-grad,Other-service,Husband,White,Male,>50K
113,28,Some-college,Sales,Wife,White,Female,<=50K
114,36,HS-grad,Machine-op-inspct,Own-child,White,Female,<=50K
115,53,9th,Handlers-cleaners,Husband,White,Male,<=50K
116,56,Some-college,Sales,Husband,White,Male,<=50K
117,49,Assoc-voc,Craft-repair,Husband,Black,Male,>50K
118,55,Some-college,Sales,Husband,White,Male,<=50K
119,22,HS-grad,Craft-repair,Not-in-family,White,Male,<=50K
120,21,Some-college,Other-service,Own-child,White,Female,<=50K
121,40,Bachelors,Exec-managerial,Husband,White,Male,<=50K
122,30,Bachelors,Exec-managerial,Own-child,Black,Male,<=50K
123,29,Bachelors,Prof-specialty,Husband,White,Male,>50K
124,19,Some-college,Other-service,Own-child,Black,Male,<=50K
125,47,Bachelors,Exec-managerial,Wife,White,Female,>50K
126,20,Some-college,Adm-clerical,Own-child,White,Female,<=50K
127,31,Assoc-acdm,Adm-clerical,Husband,White,Male,>50K
128,35,HS-grad,?,Husband,White,Male,<=50K
129,39,Some-college,Craft-repair,Not-in-family,White,Male,<=50K
130,28,Assoc-acdm,Sales,Not-in-family,White,Female,<=50K
131,24,HS-grad,Other-service,Not-in-family,White,Female,<=50K
132,38,HS-grad,Craft-repair,Husband,White,Male,<=50K
133,37,Bachelors,Sales,Husband,White,Male,<=50K
134,46,Assoc-acdm,Tech-support,Not-in-family,Black,Female,<=50K
135,38,Masters,Prof-specialty,Husband,White,Male,>50K
136,43,HS-grad,Craft-repair,Husband,White,Male,<=50K
137,27,Assoc-voc,Adm-clerical,Wife,White,Female,<=50K
138,20,Some-college,Sales,Own-child,White,Male,<=50K
139,49,Some-college,Craft-repair,Husband,Asian-Pac-Islander,Male,>50K
140,61,HS-grad,Craft-repair,Husband,White,Male,<=50K
141,27,Some-college,Sales,Own-child,White,Female,<=50K
142,19,Some-college,Other-service,Own-child,White,Male,<=50K
143,45,Assoc-voc,Prof-specialty,Not-in-family,White,Female,>50K
144,70,Some-college,Tech-support,Other-relative,White,Male,<=50K
145,31,HS-grad,Transport-moving,Unmarried,Black,Female,<=50K
146,22,Some-college,Other-service,Husband,White,Male,<=50K
147,36,HS-grad,Other-service,Unmarried,White,Female,<=50K
148,64,11th,Craft-repair,Husband,White,Male,<=50K
149,43,Some-college,?,Not-in-family,White,Female,<=50K
150,47,Some-college,Adm-clerical,Unmarried,White,Female,<=50K
