,Yield,BiologicalMaterial01,BiologicalMaterial02,BiologicalMaterial03,BiologicalMaterial04,BiologicalMaterial05,BiologicalMaterial06,BiologicalMaterial07,BiologicalMaterial08,BiologicalMaterial09,BiologicalMaterial10,BiologicalMaterial11,BiologicalMaterial12,ManufacturingProcess01,ManufacturingProcess02,ManufacturingProcess03,ManufacturingProcess04,ManufacturingProcess05,ManufacturingProcess06,ManufacturingProcess07,ManufacturingProcess08,ManufacturingProcess09,ManufacturingProcess10,ManufacturingProcess11,ManufacturingProcess12,ManufacturingProcess13,ManufacturingProcess14,ManufacturingProcess15,ManufacturingProcess16,ManufacturingProcess17,ManufacturingProcess18,ManufacturingProcess19,ManufacturingProcess20,ManufacturingProcess21,ManufacturingProcess22,ManufacturingProcess23,ManufacturingProcess24,ManufacturingProcess25,ManufacturingProcess26,ManufacturingProcess27,ManufacturingProcess28,ManufacturingProcess29,ManufacturingProcess30,ManufacturingProcess31,ManufacturingProcess32,ManufacturingProcess33,ManufacturingProcess34,ManufacturingProcess35,ManufacturingProcess36,ManufacturingProcess37,ManufacturingProcess38,ManufacturingProcess39,ManufacturingProcess40,ManufacturingProcess41,ManufacturingProcess42,ManufacturingProcess43,ManufacturingProcess44,ManufacturingProcess45
0,38.0,6.25,49.58,56.97,12.74,19.51,43.73,100.0,16.66,11.44,3.46,138.09,18.83,,,,,,,,,43.0,,,,35.5,4898.0,6108.0,4682.0,35.5,4865.0,6049.0,4665.0,0.0,,,,4873.0,6074.0,4685.0,10.7,21.0,9.9,69.1,156.0,66.0,2.4,486.0,0.019,0.5,3.0,7.2,,,11.6,3.0,1.8,2.4
1,42.44,8.01,60.97,67.48,14.65,19.36,53.14,100.0,19.04,12.55,3.46,153.67,21.05,0.0,0.0,,917.0,1032.2,210.0,177.0,178.0,46.57,,,0.0,34.0,4869.0,6095.0,4617.0,34.0,4867.0,6097.0,4621.0,0.0,3.0,0.0,3.0,4869.0,6107.0,4630.0,11.2,21.4,9.9,68.7,169.0,66.0,2.6,508.0,0.019,2.0,2.0,7.2,0.1,0.15,11.1,0.9,1.9,2.2
2,42.03,8.01,60.97,67.48,14.65,19.36,53.14,100.0,19.04,12.55,3.46,153.67,21.05,0.0,0.0,,912.0,1003.6,207.1,178.0,178.0,45.07,,,0.0,34.8,4878.0,6087.0,4617.0,34.8,4877.0,6078.0,4621.0,0.0,4.0,1.0,4.0,4897.0,6116.0,4637.0,11.1,21.3,9.4,69.3,173.0,66.0,2.6,509.0,0.018,0.7,2.0,7.2,0.0,0.0,12.0,1.0,1.8,2.3
3,41.42,8.01,60.97,67.48,14.65,19.36,53.14,100.0,19.04,12.55,3.46,153.67,21.05,0.0,0.0,,911.0,1014.6,213.3,177.0,177.0,44.92,,,0.0,34.8,4897.0,6102.0,4635.0,34.8,4872.0,6073.0,4611.0,0.0,5.0,2.0,5.0,4892.0,6111.0,4630.0,11.1,21.3,9.4,69.3,171.0,68.0,2.5,496.0,0.018,1.2,2.0,7.2,0.0,0.0,10.6,1.1,1.8,2.1
4,42.49,7.47,63.33,72.25,14.02,17.91,54.66,100.0,18.22,12.8,3.05,147.61,21.05,10.7,0.0,,918.0,1027.5,205.7,178.0,178.0,44.96,,,0.0,34.6,4992.0,6233.0,4733.0,33.9,4886.0,6102.0,4659.0,-0.7,8.0,4.0,18.0,4930.0,6151.0,4684.0,11.3,21.6,9.0,69.4,171.0,70.0,2.5,468.0,0.017,0.2,2.0,7.3,0.0,0.0,11.0,1.1,1.7,2.1
5,43.57,6.12,58.36,65.31,15.17,21.79,51.23,100.0,18.3,12.13,3.78,151.88,20.76,12.0,0.0,,924.0,1016.8,208.9,178.0,178.0,45.32,,,0.0,34.0,4985.0,6222.0,4786.0,33.4,4862.0,6115.0,4696.0,-0.6,9.0,1.0,1.0,4871.0,6128.0,4687.0,11.4,21.7,10.1,68.2,173.0,70.0,2.5,490.0,0.018,0.4,2.0,7.2,0.0,0.0,11.5,2.2,1.8,2.0
6,43.12,7.48,64.47,72.41,13.82,17.71,54.45,100.0,18.72,12.95,3.04,147.11,20.75,11.5,0.0,1.56,933.0,988.9,210.0,177.0,178.0,49.36,11.6,11.5,0.0,32.4,4745.0,5999.0,4486.0,33.8,4758.0,6013.0,4522.0,1.4,1.0,1.0,1.0,4795.0,6057.0,4572.0,11.2,21.2,11.2,67.6,159.0,65.0,2.5,475.0,0.019,0.8,2.0,7.3,0.0,0.0,11.7,0.7,2.0,2.2
7,43.06,6.94,63.6,72.06,15.7,19.42,54.72,100.0,18.85,13.13,3.85,154.2,21.45,12.0,0.0,1.55,929.0,1010.9,211.7,178.0,178.0,48.68,10.2,11.3,0.0,33.6,4854.0,6105.0,4626.0,33.6,4766.0,6022.0,4552.0,0.0,2.0,2.0,2.0,4806.0,6059.0,4586.0,11.1,21.2,10.9,67.9,161.0,65.0,2.5,478.0,0.019,1.0,2.0,7.3,0.0,0.0,11.4,0.8,2.0,2.2
8,41.49,6.94,63.6,72.06,15.7,19.42,54.72,100.0,18.85,13.13,3.85,154.2,21.45,12.0,0.0,1.56,928.0,1003.5,208.7,177.0,177.0,47.2,9.7,11.1,0.0,33.9,4893.0,6144.0,4658.0,33.9,4769.0,6033.0,4556.0,0.0,3.0,3.0,3.0,4842.0,6103.0,4609.0,11.3,21.5,10.5,68.0,160.0,65.0,2.5,491.0,0.019,1.2,3.0,7.4,0.0,0.0,11.4,0.9,1.9,2.1
9,42.45,6.94,63.6,72.06,15.7,19.42,54.72,100.0,18.85,13.13,3.85,154.2,21.45,12.0,0.0,1.55,938.0,1003.8,209.8,177.0,177.0,47.11,10.1,10.2,0.0,34.3,4846.0,6077.0,4614.0,35.3,4840.0,6091.0,4614.0,1.0,4.0,1.0,4.0,4893.0,6135.0,4650.0,11.4,21.7,9.8,68.5,164.0,66.0,2.5,488.0,0.019,1.8,3.0,7.1,0.0,0.0,11.3,0.8,1.9,2.4
