Category: All categories

Month,"""data science"": (United States)"
2004-01,2
2004-02,1
2004-03,0
2004-04,1
2004-05,0
2004-06,2
2004-07,4
2004-08,1
2004-09,1
2004-10,2
2004-11,1
2004-12,2
2005-01,1
2005-02,0
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,2
2005-08,1
2005-09,0
2005-10,0
2005-11,1
2005-12,0
2006-01,0
2006-02,1
2006-03,1
2006-04,0
2006-05,<1
2006-06,1
2006-07,1
2006-08,<1
2006-09,1
2006-10,<1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,<1
2007-04,1
2007-05,<1
2007-06,1
2007-07,<1
2007-08,1
2007-09,<1
2007-10,<1
2007-11,1
2007-12,1
2008-01,<1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,<1
2008-07,1
2008-08,1
2008-09,1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,1
2009-04,<1
2009-05,1
2009-06,1
2009-07,1
2009-08,<1
2009-09,1
2009-10,<1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,<1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,<1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,2
2012-09,2
2012-10,3
2012-11,3
2012-12,3
2013-01,4
2013-02,4
2013-03,5
2013-04,8
2013-05,9
2013-06,7
2013-07,7
2013-08,7
2013-09,8
2013-10,9
2013-11,10
2013-12,9
2014-01,14
2014-02,15
2014-03,15
2014-04,16
2014-05,16
2014-06,16
2014-07,18
2014-08,21
2014-09,21
2014-10,22
2014-11,21
2014-12,19
2015-01,26
2015-02,26
2015-03,27
2015-04,31
2015-05,32
2015-06,30
2015-07,35
2015-08,37
2015-09,39
2015-10,38
2015-11,35
2015-12,32
2016-01,39
2016-02,41
2016-03,42
2016-04,43
2016-05,42
2016-06,41
2016-07,40
2016-08,42
2016-09,47
2016-10,48
2016-11,49
2016-12,44
2017-01,60
2017-02,61
2017-03,68
2017-04,65
2017-05,62
2017-06,61
2017-07,62
2017-08,65
2017-09,69
2017-10,79
2017-11,70
2017-12,62
2018-01,78
2018-02,77
2018-03,80
2018-04,85
2018-05,78
2018-06,75
2018-07,80
2018-08,83
2018-09,88
2018-10,95
2018-11,87
2018-12,76
2019-01,98
2019-02,96
2019-03,97
2019-04,100
2019-05,90
