Category: All categories

Month,football: (United Kingdom)
2004-01,57
2004-02,57
2004-03,58
2004-04,57
2004-05,61
2004-06,72
2004-07,53
2004-08,64
2004-09,63
2004-10,63
2004-11,64
2004-12,63
2005-01,61
2005-02,61
2005-03,59
2005-04,59
2005-05,57
2005-06,50
2005-07,50
2005-08,67
2005-09,65
2005-10,68
2005-11,65
2005-12,65
2006-01,64
2006-02,63
2006-03,61
2006-04,63
2006-05,68
2006-06,100
2006-07,60
2006-08,67
2006-09,67
2006-10,65
2006-11,63
2006-12,62
2007-01,62
2007-02,57
2007-03,58
2007-04,58
2007-05,58
2007-06,51
2007-07,53
2007-08,75
2007-09,73
2007-10,69
2007-11,66
2007-12,67
2008-01,66
2008-02,58
2008-03,63
2008-04,60
2008-05,57
2008-06,57
2008-07,47
2008-08,68
2008-09,67
2008-10,63
2008-11,66
2008-12,61
2009-01,61
2009-02,56
2009-03,54
2009-04,60
2009-05,55
2009-06,47
2009-07,47
2009-08,78
2009-09,66
2009-10,62
2009-11,62
2009-12,65
2010-01,65
2010-02,65
2010-03,63
2010-04,62
2010-05,56
2010-06,87
2010-07,55
2010-08,75
2010-09,66
2010-10,64
2010-11,67
2010-12,56
2011-01,90
2011-02,83
2011-03,69
2011-04,77
2011-05,66
2011-06,50
2011-07,54
2011-08,98
2011-09,81
2011-10,75
2011-11,68
2011-12,74
2012-01,80
2012-02,73
2012-03,75
2012-04,80
2012-05,71
2012-06,78
2012-07,58
2012-08,84
2012-09,79
2012-10,74
2012-11,77
2012-12,84
2013-01,85
2013-02,78
2013-03,73
2013-04,75
2013-05,68
2013-06,48
2013-07,52
2013-08,99
2013-09,89
2013-10,73
2013-11,69
2013-12,83
2014-01,82
2014-02,78
2014-03,78
2014-04,80
2014-05,67
2014-06,87
2014-07,59
2014-08,89
2014-09,77
2014-10,71
2014-11,71
2014-12,75
2015-01,76
2015-02,73
2015-03,70
2015-04,68
2015-05,60
2015-06,45
2015-07,48
2015-08,82
2015-09,72
2015-10,72
2015-11,68
2015-12,73
2016-01,76
2016-02,74
2016-03,74
2016-04,77
2016-05,71
2016-06,80
2016-07,51
2016-08,77
2016-09,74
2016-10,68
2016-11,63
2016-12,69
2017-01,69
2017-02,66
2017-03,59
2017-04,72
2017-05,58
2017-06,41
2017-07,44
2017-08,78
2017-09,74
2017-10,68
2017-11,68
2017-12,77
2018-01,77
2018-02,70
2018-03,67
2018-04,74
2018-05,62
2018-06,89
2018-07,82
2018-08,79
2018-09,75
2018-10,70
2018-11,69
2018-12,84
2019-01,82
2019-02,85
2019-03,82
2019-04,88
2019-05,79
