Category: All categories

Month,football: (United States)
2004-01,12
2004-02,9
2004-03,7
2004-04,8
2004-05,8
2004-06,9
2004-07,12
2004-08,24
2004-09,36
2004-10,30
2004-11,28
2004-12,18
2005-01,14
2005-02,10
2005-03,7
2005-04,8
2005-05,8
2005-06,8
2005-07,12
2005-08,25
2005-09,41
2005-10,35
2005-11,31
2005-12,19
2006-01,15
2006-02,9
2006-03,7
2006-04,8
2006-05,8
2006-06,10
2006-07,14
2006-08,28
2006-09,47
2006-10,37
2006-11,34
2006-12,21
2007-01,15
2007-02,9
2007-03,7
2007-04,8
2007-05,8
2007-06,9
2007-07,14
2007-08,28
2007-09,52
2007-10,39
2007-11,35
2007-12,22
2008-01,14
2008-02,9
2008-03,7
2008-04,8
2008-05,8
2008-06,9
2008-07,13
2008-08,29
2008-09,47
2008-10,36
2008-11,38
2008-12,22
2009-01,14
2009-02,10
2009-03,8
2009-04,9
2009-05,8
2009-06,9
2009-07,12
2009-08,26
2009-09,52
2009-10,41
2009-11,39
2009-12,25
2010-01,17
2010-02,10
2010-03,8
2010-04,9
2010-05,8
2010-06,11
2010-07,12
2010-08,25
2010-09,53
2010-10,44
2010-11,40
2010-12,24
2011-01,20
2011-02,11
2011-03,8
2011-04,9
2011-05,8
2011-06,9
2011-07,14
2011-08,30
2011-09,63
2011-10,55
2011-11,51
2011-12,30
2012-01,20
2012-02,12
2012-03,9
2012-04,10
2012-05,9
2012-06,10
2012-07,14
2012-08,33
2012-09,69
2012-10,53
2012-11,50
2012-12,29
2013-01,19
2013-02,11
2013-03,8
2013-04,9
2013-05,9
2013-06,10
2013-07,14
2013-08,38
2013-09,71
2013-10,55
2013-11,55
2013-12,34
2014-01,20
2014-02,11
2014-03,8
2014-04,9
2014-05,10
2014-06,11
2014-07,14
2014-08,39
2014-09,68
2014-10,59
2014-11,61
2014-12,36
2015-01,24
2015-02,12
2015-03,9
2015-04,9
2015-05,9
2015-06,10
2015-07,13
2015-08,33
2015-09,84
2015-10,68
2015-11,65
2015-12,35
2016-01,26
2016-02,13
2016-03,9
2016-04,10
2016-05,10
2016-06,10
2016-07,13
2016-08,32
2016-09,88
2016-10,77
2016-11,65
2016-12,39
2017-01,25
2017-02,12
2017-03,9
2017-04,9
2017-05,9
2017-06,10
2017-07,13
2017-08,33
2017-09,87
2017-10,72
2017-11,72
2017-12,42
2018-01,25
2018-02,12
2018-03,9
2018-04,10
2018-05,9
2018-06,11
2018-07,15
2018-08,38
2018-09,100
2018-10,73
2018-11,73
2018-12,43
2019-01,24
2019-02,13
2019-03,9
2019-04,10
2019-05,9
