Category: All categories

Month,"""game of thrones"": (United States)"
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,<1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,<1
2008-10,<1
2008-11,<1
2008-12,<1
2009-01,<1
2009-02,<1
2009-03,<1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,<1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,<1
2010-06,<1
2010-07,<1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,1
2011-02,<1
2011-03,1
2011-04,7
2011-05,9
2011-06,13
2011-07,7
2011-08,5
2011-09,5
2011-10,4
2011-11,3
2011-12,4
2012-01,5
2012-02,4
2012-03,9
2012-04,19
2012-05,19
2012-06,17
2012-07,9
2012-08,6
2012-09,6
2012-10,5
2012-11,4
2012-12,6
2013-01,6
2013-02,8
2013-03,15
2013-04,25
2013-05,22
2013-06,33
2013-07,12
2013-08,9
2013-09,7
2013-10,6
2013-11,7
2013-12,9
2014-01,12
2014-02,12
2014-03,14
2014-04,43
2014-05,31
2014-06,37
2014-07,14
2014-08,10
2014-09,8
2014-10,7
2014-11,7
2014-12,9
2015-01,10
2015-02,10
2015-03,12
2015-04,30
2015-05,25
2015-06,37
2015-07,12
2015-08,9
2015-09,8
2015-10,7
2015-11,7
2015-12,9
2016-01,8
2016-02,8
2016-03,10
2016-04,29
2016-05,40
2016-06,45
2016-07,18
2016-08,9
2016-09,8
2016-10,7
2016-11,7
2016-12,9
2017-01,10
2017-02,8
2017-03,9
2017-04,8
2017-05,9
2017-06,13
2017-07,52
2017-08,70
2017-09,18
2017-10,9
2017-11,7
2017-12,9
2018-01,8
2018-02,6
2018-03,6
2018-04,6
2018-05,6
2018-06,7
2018-07,8
2018-08,7
2018-09,7
2018-10,6
2018-11,7
2018-12,10
2019-01,14
2019-02,13
2019-03,21
2019-04,86
2019-05,100
