Category: All categories

Month,pokemon: (United States)
2004-01,3
2004-02,4
2004-03,4
2004-04,4
2004-05,4
2004-06,4
2004-07,5
2004-08,5
2004-09,4
2004-10,4
2004-11,3
2004-12,3
2005-01,3
2005-02,3
2005-03,3
2005-04,3
2005-05,4
2005-06,4
2005-07,4
2005-08,4
2005-09,3
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,3
2006-05,4
2006-06,5
2006-07,5
2006-08,6
2006-09,5
2006-10,6
2006-11,5
2006-12,5
2007-01,4
2007-02,5
2007-03,6
2007-04,10
2007-05,13
2007-06,15
2007-07,12
2007-08,9
2007-09,7
2007-10,6
2007-11,6
2007-12,7
2008-01,5
2008-02,7
2008-03,7
2008-04,6
2008-05,7
2008-06,8
2008-07,9
2008-08,8
2008-09,6
2008-10,5
2008-11,6
2008-12,6
2009-01,6
2009-02,7
2009-03,8
2009-04,9
2009-05,9
2009-06,9
2009-07,9
2009-08,8
2009-09,6
2009-10,6
2009-11,7
2009-12,8
2010-01,7
2010-02,8
2010-03,11
2010-04,12
2010-05,10
2010-06,10
2010-07,10
2010-08,9
2010-09,8
2010-10,7
2010-11,7
2010-12,8
2011-01,8
2011-02,10
2011-03,18
2011-04,14
2011-05,10
2011-06,11
2011-07,10
2011-08,9
2011-09,7
2011-10,7
2011-11,7
2011-12,8
2012-01,7
2012-02,8
2012-03,9
2012-04,9
2012-05,9
2012-06,11
2012-07,11
2012-08,10
2012-09,8
2012-10,9
2012-11,8
2012-12,9
2013-01,9
2013-02,9
2013-03,9
2013-04,9
2013-05,10
2013-06,11
2013-07,11
2013-08,11
2013-09,11
2013-10,23
2013-11,17
2013-12,15
2014-01,13
2014-02,15
2014-03,16
2014-04,13
2014-05,12
2014-06,12
2014-07,12
2014-08,11
2014-09,8
2014-10,8
2014-11,11
2014-12,11
2015-01,10
2015-02,9
2015-03,8
2015-04,8
2015-05,8
2015-06,8
2015-07,8
2015-08,8
2015-09,9
2015-10,8
2015-11,8
2015-12,8
2016-01,8
2016-02,11
2016-03,12
2016-04,9
2016-05,11
2016-06,11
2016-07,100
2016-08,46
2016-09,25
2016-10,19
2016-11,23
2016-12,22
2017-01,14
2017-02,14
2017-03,12
2017-04,11
2017-05,10
2017-06,12
2017-07,14
2017-08,11
2017-09,9
2017-10,9
2017-11,10
2017-12,11
2018-01,9
2018-02,9
2018-03,8
2018-04,10
2018-05,9
2018-06,12
2018-07,14
2018-08,11
2018-09,10
2018-10,9
2018-11,13
2018-12,12
2019-01,9
2019-02,10
2019-03,10
2019-04,9
2019-05,11
