Category: All categories

Month,taxes: (United States)
2004-01,45
2004-02,54
2004-03,48
2004-04,56
2004-05,24
2004-06,22
2004-07,23
2004-08,25
2004-09,23
2004-10,27
2004-11,24
2004-12,24
2005-01,45
2005-02,61
2005-03,51
2005-04,64
2005-05,25
2005-06,24
2005-07,24
2005-08,25
2005-09,22
2005-10,23
2005-11,23
2005-12,23
2006-01,48
2006-02,60
2006-03,49
2006-04,67
2006-05,26
2006-06,23
2006-07,24
2006-08,25
2006-09,25
2006-10,25
2006-11,23
2006-12,24
2007-01,49
2007-02,62
2007-03,51
2007-04,73
2007-05,26
2007-06,25
2007-07,25
2007-08,23
2007-09,23
2007-10,26
2007-11,24
2007-12,25
2008-01,52
2008-02,61
2008-03,53
2008-04,64
2008-05,28
2008-06,24
2008-07,24
2008-08,22
2008-09,26
2008-10,31
2008-11,24
2008-12,24
2009-01,51
2009-02,65
2009-03,52
2009-04,60
2009-05,24
2009-06,23
2009-07,24
2009-08,24
2009-09,24
2009-10,25
2009-11,24
2009-12,26
2010-01,55
2010-02,60
2010-03,50
2010-04,62
2010-05,25
2010-06,24
2010-07,22
2010-08,22
2010-09,22
2010-10,23
2010-11,22
2010-12,27
2011-01,59
2011-02,65
2011-03,51
2011-04,72
2011-05,26
2011-06,25
2011-07,26
2011-08,26
2011-09,26
2011-10,27
2011-11,24
2011-12,27
2012-01,61
2012-02,65
2012-03,47
2012-04,64
2012-05,24
2012-06,24
2012-07,24
2012-08,27
2012-09,28
2012-10,28
2012-11,29
2012-12,29
2013-01,70
2013-02,72
2013-03,51
2013-04,61
2013-05,25
2013-06,22
2013-07,22
2013-08,22
2013-09,23
2013-10,26
2013-11,23
2013-12,27
2014-01,61
2014-02,72
2014-03,53
2014-04,61
2014-05,25
2014-06,23
2014-07,24
2014-08,22
2014-09,24
2014-10,26
2014-11,24
2014-12,28
2015-01,63
2015-02,74
2015-03,53
2015-04,62
2015-05,26
2015-06,26
2015-07,26
2015-08,26
2015-09,27
2015-10,28
2015-11,26
2015-12,30
2016-01,71
2016-02,82
2016-03,57
2016-04,74
2016-05,28
2016-06,25
2016-07,25
2016-08,27
2016-09,28
2016-10,34
2016-11,30
2016-12,30
2017-01,71
2017-02,82
2017-03,64
2017-04,79
2017-05,30
2017-06,28
2017-07,29
2017-08,29
2017-09,29
2017-10,32
2017-11,33
2017-12,47
2018-01,78
2018-02,91
2018-03,65
2018-04,83
2018-05,32
2018-06,30
2018-07,30
2018-08,31
2018-09,30
2018-10,37
2018-11,32
2018-12,35
2019-01,78
2019-02,100
2019-03,70
2019-04,81
2019-05,35
